,PassengerId,Survived
0,892,1
1,893,0
2,894,1
3,895,1
4,896,1
5,897,1
6,898,0
7,899,0
8,900,0
9,901,0
10,902,0
11,903,0
12,904,0
13,905,0
14,906,1
15,907,0
16,908,0
17,909,0
18,910,0
19,911,1
20,912,1
21,913,1
22,914,0
23,915,0
24,916,1
25,917,1
26,918,1
27,919,0
28,920,1
29,921,1
30,922,1
31,923,0
32,924,1
33,925,0
34,926,1
35,927,0
36,928,1
37,929,0
38,930,1
39,931,1
40,932,0
41,933,0
42,934,0
43,935,1
44,936,0
45,937,0
46,938,0
47,939,0
48,940,0
49,941,0
50,942,1
51,943,1
52,944,0
53,945,0
54,946,1
55,947,1
56,948,0
57,949,1
58,950,0
59,951,0
60,952,0
61,953,1
62,954,0
63,955,1
64,956,0
65,957,0
66,958,1
67,959,1
68,960,1
69,961,0
70,962,0
71,963,1
72,964,0
73,965,1
74,966,1
75,967,0
76,968,1
77,969,0
78,970,0
79,971,1
80,972,0
81,973,1
82,974,1
83,975,1
84,976,0
85,977,0
86,978,0
87,979,0
88,980,0
89,981,0
90,982,0
91,983,0
92,984,0
93,985,0
94,986,0
95,987,1
96,988,1
97,989,1
98,990,1
99,991,0
100,992,1
101,993,1
102,994,0
103,995,0
104,996,1
105,997,0
106,998,0
107,999,0
108,1000,1
109,1001,1
110,1002,0
111,1003,1
112,1004,0
113,1005,0
114,1006,0
115,1007,1
116,1008,1
117,1009,0
118,1010,0
119,1011,0
120,1012,1
121,1013,0
122,1014,1
123,1015,1
124,1016,0
125,1017,1
126,1018,0
127,1019,1
128,1020,1
129,1021,0
130,1022,0
131,1023,1
132,1024,0
133,1025,1
134,1026,0
135,1027,0
136,1028,1
137,1029,0
138,1030,0
139,1031,0
140,1032,1
141,1033,0
142,1034,0
143,1035,1
144,1036,0
145,1037,1
146,1038,1
147,1039,0
148,1040,1
149,1041,0
150,1042,0
151,1043,1
152,1044,1
153,1045,1
154,1046,0
155,1047,0
156,1048,1
157,1049,1
158,1050,0
159,1051,0
160,1052,0
161,1053,1
162,1054,0
163,1055,0
164,1056,1
165,1057,0
166,1058,1
167,1059,1
168,1060,0
169,1061,0
170,1062,0
171,1063,1
172,1064,1
173,1065,0
174,1066,0
175,1067,1
176,1068,0
177,1069,0
178,1070,1
179,1071,0
180,1072,0
181,1073,0
182,1074,0
183,1075,1
184,1076,1
185,1077,0
186,1078,1
187,1079,0
188,1080,1
189,1081,0
190,1082,0
191,1083,1
192,1084,0
193,1085,1
194,1086,0
195,1087,1
196,1088,0
197,1089,0
198,1090,0
199,1091,0
200,1092,1
201,1093,1
202,1094,0
203,1095,1
204,1096,0
205,1097,0
206,1098,0
207,1099,0
208,1100,0
209,1101,1
210,1102,1
211,1103,0
212,1104,0
213,1105,0
214,1106,1
215,1107,0
216,1108,0
217,1109,0
218,1110,1
219,1111,0
220,1112,1
221,1113,0
222,1114,1
223,1115,0
224,1116,1
225,1117,0
226,1118,1
227,1119,0
228,1120,0
229,1121,0
230,1122,1
231,1123,0
232,1124,0
233,1125,1
234,1126,0
235,1127,1
236,1128,0
237,1129,0
238,1130,0
239,1131,1
240,1132,1
241,1133,0
242,1134,1
243,1135,0
244,1136,1
245,1137,0
246,1138,0
247,1139,1
248,1140,1
249,1141,0
250,1142,1
251,1143,1
252,1144,0
253,1145,0
254,1146,1
255,1147,0
256,1148,1
257,1149,1
258,1150,0
259,1151,0
260,1152,1
261,1153,0
262,1154,1
263,1155,0
264,1156,1
265,1157,1
266,1158,0
267,1159,1
268,1160,0
269,1161,1
270,1162,0
271,1163,0
272,1164,1
273,1165,0
274,1166,0
275,1167,0
276,1168,1
277,1169,1
278,1170,1
279,1171,1
280,1172,1
281,1173,0
282,1174,0
283,1175,1
284,1176,0
285,1177,0
286,1178,1
287,1179,0
288,1180,1
289,1181,0
290,1182,0
291,1183,0
292,1184,0
293,1185,1
294,1186,0
295,1187,1
296,1188,0
297,1189,0
298,1190,1
299,1191,1
300,1192,0
301,1193,1
302,1194,1
303,1195,0
304,1196,1
305,1197,0
306,1198,0
307,1199,0
308,1200,0
309,1201,1
310,1202,0
311,1203,0
312,1204,1
313,1205,0
314,1206,0
315,1207,0
316,1208,0
317,1209,0
318,1210,0
319,1211,1
320,1212,1
321,1213,1
322,1214,1
323,1215,0
324,1216,1
325,1217,0
326,1218,1
327,1219,1
328,1220,1
329,1221,1
330,1222,1
331,1223,0
332,1224,1
333,1225,1
334,1226,0
335,1227,1
336,1228,0
337,1229,0
338,1230,0
339,1231,1
340,1232,0
341,1233,1
342,1234,1
343,1235,0
344,1236,0
345,1237,0
346,1238,0
347,1239,0
348,1240,0
349,1241,0
350,1242,0
351,1243,1
352,1244,0
353,1245,1
354,1246,1
355,1247,1
356,1248,1
357,1249,1
358,1250,0
359,1251,1
360,1252,1
361,1253,1
362,1254,0
363,1255,1
364,1256,0
365,1257,0
366,1258,0
367,1259,0
368,1260,0
369,1261,0
370,1262,1
371,1263,0
372,1264,0
373,1265,0
374,1266,0
375,1267,0
376,1268,1
377,1269,0
378,1270,1
379,1271,1
380,1272,0
381,1273,0
382,1274,1
383,1275,0
384,1276,1
385,1277,1
386,1278,1
387,1279,1
388,1280,1
389,1281,1
390,1282,0
391,1283,0
392,1284,0
393,1285,0
394,1286,0
395,1287,1
396,1288,0
397,1289,1
398,1290,1
399,1291,0
400,1292,1
401,1293,1
402,1294,0
403,1295,0
404,1296,0
405,1297,0
406,1298,0
407,1299,1
408,1300,1
409,1301,1
410,1302,1
411,1303,0
412,1304,1
413,1305,0
414,1306,0
415,1307,1
416,1308,1
417,1309,0
